date ,home ,away,home pred,away pred,total,dk lines ,O/U,W/L,Column 1,
,HOU,POR,115,98,213,228,U,,,
,MIL,CHA,123,103,226,225,O,,,
,SAS,GSW,114,123,237,223,O,,,
,LAL,DEN,121,119,240,235,O,4,,
,,,,,,,,,,
11/24/2024,MIN,BOS,120,117,237,221,O,,,
,WAS,IND,111,102,213,241,U,,,
,DAL,MIA,123,108,231,222.5,O,,,
,TOR,CLE,112,138,250,234.5,O,,,
,BKN,SAC,109,109,218,225,U,3,,
,,,,,,,,,,
11/25/2024,CHA,ORL,99,102,201,213.5,U,,,
,DET,TOR,111,109,220,222,U,,,
,IND,NOP,102,101,203,225.5,U,,,
,ATL,DAL,109,131,240,237,O,,,
,BOS,LAC,113,113,226,217.5,O,,,
,MEM,POR,118,107,225,232,U,,,
,DEN,NYK,119,130,249,232.5,O,,,
,GSW,BKN,129,113,242,224,O,,,
,SAC,OKC,117,120,237,223.5,O,9,,
,,,,,,,,,,
11/26/2024,WAS,CHI,109,121,230,245.5,U,,,
,MIA,MIL,114,116,230,223,O,,,
,MIN,HOU,132,120,252,220,O,,,
,UTA,SAS,97,105,202,224.5,U,,,
,PHX,LAL,124,112,236,234.5,O,2,52W-83G,
,,,,,,,,,,
11/27/2024,CHA,MIA,98,113,211,218,U,,,
,CLE,ATL,148,110,258,240,O,,,
,IND,POR,112,95,207,232,U,,,
,ORL,CHI,98,121,219,225,U,,,
,WAS,LAC,96,113,209,223,U,,,
,DAL,NYK,122,134,256,233,O,,,
,MEM,DET,118,116,234,225,O,,,
,MIN,SAC,112,113,225,218,O,,,
,NOP,TOR,106,100,206,223,U,,,
,SAS,LAL,108,103,211,228,U,,,
,PHX,BKN,116,105,221,219,O,,,
,GSW,OKC,136,127,263,229,O,,,
,UTA,DEN,99,121,220,231,U,10,,
,,,,,,,,,,
11/29/2024,CHA,NYK,108,123,231,221,O,,,
,ATL,CLE,115,143,258,244,O,,,
,MEM,NOP,118,103,221,232,U,,,
,BKN,ORL,113,99,212,208.5,O,,,
,MIN,LAC,103,105,208,213.5,U,,,
,CHI,BOS,122,122,244,243.5,O,,,
,IND,DET,113,110,223,229,U,,,
,MIA,TOR,120,101,221,219,O,,,
,LAL,OKC,123,115,238,230.5,O,,,
,POR,SAC,93,111,204,225.5,U,6,65,65W/106G
,,,,,,,,,,
11/30/2024,CHA,ATL,114,115,229,225.5,O,,,
,DET,PHI,108,94,202,215,U,,,
,MIL,WAS,127,98,225,231,U,,,
,PHX,GSW,111,133,244,233,O,,,
,UTA,DAL,92,132,224,232.5,U,2,67,67W/111
,,,,,,,,,,
12/01/2024,BKN,ORL,115,98,213,206.5,O,,,
,MEM,IND,130,122,252,244,O,,,
,CLE,BOS,137,127,264,232.5,O,,,
,NYK,NOP,123,85,208,224.5,U,,,
,TOR,MIA,104,114,218,221.5,U,,,
,HOU,OKC,113,118,231,220.5,O,,,
,UTA,LAL,99,109,208,228.5,U,,,
,POR,DAL,96,125,221,227.5,U,,,
,SAC,SAN,104,104,208,226.5,U,,,
,LAC,DEN,107,115,222,222.5,U,4,71,71W/121G
,,,,,,,,,,
12/02/2024,ATL,NOP,102,103,205,230,U,,lost by 6,
,BOS,MIA,113,121,234,217.5,O,,197 final score,
,CHI,BKN,138,110,248,232.5,O,,Lost by 2 ,
,MIN,LAL,98,121,219,219.5,U,1,72,72W/125
,,,,,,,,,,
12/03/2024,CHA,PHI,101,99,200,211,U,,,
,CLE,WAS,134,104,238,234,O,,,
,DET,MIL,100,121,221,221.5,U,,,
,NYK,ORL,120,102,222,215,O,,,
,TOR,IND,112,125,237,237.5,U,,,
,OKC,UTA,113,103,216,224,U,,,
,DAL,MEM,133,131,264,243,O,,,
,PHX,SAS,97,111,208,230,U,,,
,DEN,GSW,117,136,253,239.5,O,,,
,SAC,HOU,109,118,227,226,O,,,
,LAC,POR,105,91,196,218,U,4,,76W/138G
,,,,,,,,,,
12/04,BOS,DET,128,109,237,220.5,O,,,
,BKN,IND,110,133,243,225,O,,,
,MIA,LAL,107,116,223,217.5,O,,,
,PHI,ORL,90,95,185,225,U,,,
,MIL,ATL,131,111,242,236,O,,,
,LAC,MIN,118,116,234,212,O,3,,79/144
,,,,,,,,,,
12/05/2024,CLE,DEN,144,121,265,233.5,O,,,
,WAS,DAL,92,121,213,232,U,,,
,NYK,CHA,145,105,250,217.5,O,,,
,TOR,OKC,97,120,217,227,U,,,
,MEM,SAC,119,114,233,242.5,U,,,
,NOP,PHX,97,121,218,222,U,,,
,SAS,CHI,97,100,197,236.5,U,,,
,GSW,HOU,114,100,214,218.5,U,5,,84/152
